Subjects,dual_task,single_auditory,single_visual,singleAve
136,1.042755556,0.831808511,0.80706383,0.819436171
137,0.981953488,0.778622222,0.685125,0.731873611
138,1.0114,0.7946875,0.693914894,0.744301197
140,0.94926087,0.623106383,0.686765957,0.65493617
141,1.210465116,1.009125,0.952042553,0.980583777
142,1.075369565,0.742979167,0.831777778,0.787378473
143,1.4733,0.980456522,0.923104167,0.951780345
147,0.897290323,0.615590909,0.73075,0.673170455
151,1.0789,0.71875,0.683577778,0.701163889
152,0.909475,0.788644444,0.681456522,0.735050483
153,0.846736842,0.592311111,0.6555,0.623905556
154,1.0666,0.812418605,0.64775,0.730084303
156,1.24390625,0.918976744,0.906911111,0.912943928
157,1.172857143,0.980026316,0.856511628,0.918268972
158,1.2345,0.8722,0.79112766,0.83166383
159,0.995581395,0.6903125,0.753755556,0.722034028
160,1.379647059,0.961840909,1.007173913,0.984507411
161,0.866527778,0.682365854,0.683204545,0.6827852
162,1.049909091,0.93187234,0.795826087,0.863849214
163,1.173777778,0.940765957,0.862104167,0.901435062
164,1.114266667,0.772822222,0.762458333,0.767640278
172,1.362466667,0.928,1.065511111,0.996755556
173,0.802264706,0.587581395,0.712833333,0.650207364
174,1.186121951,0.851104167,0.795875,0.823489584
175,0.981970588,0.811255814,0.843404255,0.827330035
177,1.013909091,0.887380952,0.741638298,0.814509625
178,0.774078947,0.618384615,0.552777778,0.585581197
181,1.030930233,0.799422222,0.750844444,0.775133333
182,0.821404762,0.751822222,0.546520833,0.649171528
183,0.558678571,0.536,0.446204545,0.491102273
184,0.883162162,0.609714286,0.588822222,0.599268254
185,1.082318182,0.709891304,0.736933333,0.723412319
186,0.709891892,0.52202439,0.508644444,0.515334417
187,0.8862,0.607543478,0.624782609,0.616163044
189,0.957953488,0.735222222,0.680130435,0.707676329
190,0.616973684,0.57955814,0.536510638,0.558034389
191,1.120636364,1.04297619,0.843690476,0.943333333
192,0.912348837,0.675479167,0.639208333,0.65734375
193,0.804529412,0.664911111,0.564948718,0.614929915
196,1.089466667,0.665978723,0.80993617,0.737957447
197,1.113159091,0.832088889,0.8703125,0.851200695
198,0.919217391,0.633893617,0.711191489,0.672542553
199,0.986190476,0.702547619,0.683105263,0.692826441
202,1.013928571,0.851268293,0.746767442,0.799017868
203,1.083714286,0.804304348,0.699978261,0.752141305
204,1.029057143,0.844652174,0.82372093,0.834186552
205,1.341897436,0.874520833,0.9644375,0.919479167
206,1.025651163,0.658355556,0.7029375,0.680646528
207,0.982577778,0.696425532,0.752170213,0.724297873
208,0.715615385,0.606285714,0.519651163,0.562968439
210,1.062833333,0.62776087,0.668,0.647880435
211,1.18602439,0.757085106,0.830934783,0.794009945
214,0.973622222,0.830130435,0.710914894,0.770522665
215,1.039394737,0.797227273,0.838266667,0.81774697
216,1.019,0.813020833,0.691,0.752010417
217,0.875181818,0.741130435,0.658425532,0.699777984
218,0.872057143,0.727488372,0.598404255,0.662946314
219,0.851733333,0.660326087,0.675354167,0.667840127
220,1.023766667,0.815479167,0.781043478,0.798261323
221,0.904690476,0.6535,0.633395833,0.643447917
222,1.084923077,0.799020833,0.841422222,0.820221528
223,0.972904762,0.766829787,0.65425,0.710539894
224,1.149955556,0.786,0.8275,0.80675
225,0.97927907,0.725404255,0.724375,0.724889628
226,0.553292683,0.501844444,0.426666667,0.464255556
227,1.0115,0.724395349,0.665155556,0.694775453
228,0.986375,0.608333333,0.755844444,0.682088889
229,0.9871,0.770727273,0.696217391,0.733472332
230,1.021675,0.785285714,0.676209302,0.730747508
231,1.335891892,0.766326087,0.79447619,0.780401139
263,1.215,0.762085106,0.692977778,0.727531442
264,1.031346154,0.793255814,0.675291667,0.734273741
265,1.087464286,0.711288889,0.720116279,0.715702584
266,0.954793103,0.810311111,0.662553191,0.736432151
271,0.940171429,0.729304348,0.713478261,0.721391305
272,1.08875,0.83802381,0.824162791,0.831093301
273,0.870568182,0.569543478,0.713638298,0.641590888
274,1.000933333,0.901148936,0.725,0.813074468
275,0.95404878,0.842043478,0.826977778,0.834510628
289,1.066171429,0.825595745,0.79,0.807797873
290,1.1313,0.834354167,0.813977273,0.82416572
293,1.036028571,0.927276596,0.785042553,0.856159575
294,1.190586207,0.831217391,0.766191489,0.79870444
295,0.8316875,0.584234043,0.589977778,0.587105911
300,1.055533333,0.710659574,0.632956522,0.671808048
301,0.76872973,0.63052381,0.491022222,0.560773016
302,1.182630435,0.774212766,0.811886364,0.793049565
303,0.967413043,0.766020833,0.654956522,0.710488678
306,0.999380952,0.873533333,0.651458333,0.762495833
309,1.093097561,0.857914894,0.806297872,0.832106383
310,0.93628125,0.700291667,0.655414634,0.677853151
311,0.988432432,0.642707317,0.632511628,0.637609473
313,1.06374359,0.857255814,0.757255319,0.807255567
314,0.902727273,0.689458333,0.635270833,0.662364583
316,0.977083333,0.756304348,0.598456522,0.677380435
317,0.865114286,0.948642857,0.784326087,0.866484472
319,1.059606061,0.751844444,0.764377778,0.758111111
320,1.0669,0.690957447,0.725319149,0.708138298
321,0.970945946,0.640295455,0.783975,0.712135228
323,0.948357143,0.625833333,0.67647619,0.651154762
326,1.136060606,0.798733333,0.912214286,0.85547381
327,0.920409091,0.642159091,0.676833333,0.659496212
328,1.175121212,1.065642857,1.032666667,1.049154762
329,1.053555556,0.801583333,0.673869565,0.737726449
330,1.375095238,0.997978723,0.81223913,0.905108927
331,0.986717391,0.801866667,0.746574468,0.774220568
332,0.723090909,0.659022727,0.591541667,0.625282197
333,1.004243902,0.924414634,0.735304348,0.829859491
334,1.143708333,1.172463415,0.977170732,1.074817074
335,0.995605263,0.845195652,0.726914894,0.786055273
336,1.215486486,0.893212766,0.759847826,0.826530296
337,1.066864865,0.816155556,0.95202381,0.884089683
339,0.97574359,0.876543478,0.771479167,0.824011323
341,1.31452381,0.815822222,0.858638298,0.83723026
344,1.135945946,0.850085106,0.70812766,0.779106383
347,1.164970588,0.980444444,0.985790698,0.983117571
348,1.03555814,0.752608696,0.784208333,0.768408515
349,1.103365854,0.8805,0.733808511,0.807154256
350,1.17497561,0.885888889,0.918930233,0.902409561
351,1.108228571,0.708673913,0.667708333,0.688191123
352,1.035742857,0.836282051,0.657023256,0.746652654
353,0.772594595,0.600613636,0.637043478,0.618828557
354,1.237941176,0.917837209,0.970340909,0.944089059
355,0.897864865,0.680095238,0.6225,0.651297619
356,0.98126087,0.758583333,0.77573913,0.767161232
357,0.924342105,0.858068182,0.728738095,0.793403139
358,1.054820513,0.691232558,0.813261905,0.752247232
359,1.189054054,0.93727907,0.891355556,0.914317313
360,0.882022727,0.591787234,0.560733333,0.576260284
361,1.025666667,0.743170213,0.745531915,0.744351064
362,1.011181818,0.815888889,0.739851064,0.777869977
363,0.899977273,0.74235,0.670425532,0.706387766
364,1.095025641,0.905531915,0.924302326,0.914917121
376,0.949853659,0.781659574,0.589104167,0.685381871
377,1.125789474,0.845604651,0.894055556,0.869830104
379,0.973076923,0.787452381,0.610510638,0.69898151
380,1.152583333,0.769095238,0.900488889,0.834792064
381,1.039536585,0.774608696,0.739888889,0.757248793
382,1.212882353,0.89193617,0.859822222,0.875879196
383,1.127133333,0.7870625,0.795553191,0.791307846
384,0.907319149,0.702958333,0.626702128,0.664830231
385,0.948711111,0.767765957,0.758909091,0.763337524
386,1.161038462,0.628978261,0.710333333,0.669655797
387,1.023421053,0.781022222,0.707787234,0.744404728
388,1.103487805,0.793869565,0.837085106,0.815477336
389,0.7734,0.604888889,0.537382979,0.571135934
390,0.935111111,0.962475,0.75125,0.8568625
391,0.766527778,0.653604651,0.58415,0.618877326
392,1.125741935,0.708043478,0.761255319,0.734649399
393,0.932809524,0.726159091,0.738695652,0.732427372
394,0.848068182,0.637021739,0.613822222,0.625421981
395,0.916952381,0.77573913,0.725777778,0.750758454
396,0.750880952,0.632478261,0.604125,0.618301631
397,0.940166667,0.777347826,0.807090909,0.792219368
400,1.073771429,0.830555556,0.772711111,0.801633334
401,1.062952381,0.73973913,0.832895833,0.786317482
402,0.876121951,0.897916667,0.687893617,0.792905142
404,0.968604651,0.77425,0.697021739,0.73563587
405,1.08212766,0.870276596,0.900541667,0.885409132
406,0.973411765,0.725465116,0.611232558,0.668348837
414,1.35665,1.027340426,0.924690476,0.976015451
415,1.117852941,0.731707317,0.854880952,0.793294135
416,0.880333333,0.706478261,0.6223125,0.664395381
422,1.205365854,0.764755556,0.790022222,0.777388889
424,0.953795455,0.813133333,0.645282609,0.729207971
425,0.987688889,0.802791667,0.707638298,0.755214983
426,1.066029412,0.851454545,0.910042553,0.880748549
428,1.034977273,0.795043478,0.659468085,0.727255782
429,0.974255814,0.849702128,0.733895833,0.791798981
431,1.127581395,0.82693617,0.758531915,0.792734043
432,0.966954545,0.758723404,0.605521739,0.682122572
433,0.803918919,0.62725641,0.576238095,0.601747253
434,1.084566667,0.757804878,0.890863636,0.824334257
435,1.05404878,0.842255319,0.849533333,0.845894326
436,1.170076923,0.838880952,0.774191489,0.806536221
437,0.919837209,0.735666667,0.725979167,0.730822917
440,1.200064516,0.92675,1.064214286,0.995482143
441,0.884555556,0.712785714,0.616511111,0.664648413
442,1.260657895,0.925680851,0.898372093,0.912026472
448,1.389793103,0.880428571,0.770717391,0.825572981
449,1.068204545,0.94945,0.812166667,0.880808334
451,1.007225,0.678090909,0.66576087,0.67192589
452,1.071966667,0.801106383,0.771878788,0.786492586
453,1.158964286,0.904130435,0.858088889,0.881109662
454,1.259733333,0.949891304,0.883791667,0.916841486
455,1.033319149,0.766533333,0.753630435,0.760081884
456,1.055488372,1.0708,0.909340426,0.990070213
459,0.963282051,0.852844444,0.67597619,0.764410317
460,0.771804348,0.574304348,0.586608696,0.580456522
462,1.295259259,0.925545455,0.824813953,0.875179704
466,1.0063,0.688851064,0.691681818,0.690266441
474,0.9356,0.824727273,0.714702128,0.769714701
482,1.227060606,1.007222222,0.805857143,0.906539683
483,1.054878788,0.76504878,0.82725,0.79614939
484,1.0108,0.856613636,0.724391304,0.79050247
486,1.150581395,0.860791667,0.785,0.822895834
487,1.098886364,0.719333333,0.831617021,0.775475177
488,1.414171429,1.058068182,0.972066667,1.015067425
489,1.078113636,0.700295455,0.724533333,0.712414394
490,1.104571429,0.879565217,0.92775,0.903657609
491,1.124512821,0.830521739,0.830531915,0.830526827
494,0.916222222,0.660212766,0.659297872,0.659755319
495,0.9679,0.822681818,0.733085106,0.777883462
496,1.1175,0.805108696,0.734851064,0.76997988
497,1.106454545,0.831615385,0.789244444,0.810429915
498,1.045068182,0.686866667,0.71987234,0.703369504
499,0.807136364,0.747547619,0.59393617,0.670741895
500,1.04775,0.746975,0.642065217,0.694520109
501,1.039558824,0.644333333,0.726212766,0.68527305
502,1.272875,0.813638298,0.837555556,0.825596927
504,1.113378378,0.698136364,0.832238095,0.76518723
506,1.113636364,0.894022222,0.783652174,0.838837198
507,1.100186047,0.787428571,0.738326087,0.762877329
508,1.277225,0.904478261,0.794851064,0.849664663
509,0.750529412,0.584533333,0.616895833,0.600714583
510,0.913545455,0.657979167,0.617021277,0.637500222
511,0.940842105,0.674108696,0.695642857,0.684875777
512,0.855295455,0.810590909,0.639106383,0.724848646
513,1.003785714,0.840851064,0.674804348,0.757827706
514,0.979967742,0.70627907,0.668270833,0.687274952
520,0.675547619,0.628434783,0.548255319,0.588345051
Grand Total,1.023373214,0.78188851,0.740431331,0.761159921
